id,name,fullName,password,idProfile,isResource,idTeam,idRole,isContact,initials,salt,crypto,cookieHash,passwordChangeDate,apiKey,profile,profileCode,role,role_descrip,team,idResource
1,admin,admin,8afd90e648de918593d5c9628d22cbcf58ee1e34260b7afdfed424ca108cd3a5,1,0,,,0,,12c1192f7a4ef0ab359df54c20ef24ba0524bba8dc611ff12acba9b9978ebe53,sha256,3140a5df67347bdb181adfbbfb695876,2021-04-12 00:00:00,dd740454184b5f2aa2c21c293853cfeb,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
2,Resource 2,Resource 2,12345,5,0,,,0,,,,,2018-02-19 00:00:00,a758923aa8beca9b472422f815864ddd,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
3,Resource 3,Resource 3,12345,3,1,,,1,BK,fc76345573dcd50eb03563f0b020d09a8cc1c35212136f7e9a5f96dea27b185b,sha256,,2018-04-24 00:00:00,84308598f76cdf395e681cfac2d21140,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
4,Resource 4,Resource 4,12345,1,1,1,1,1,AM,b038f4d863228e3d7debc105c552f17ded46e44b24dded2b064c0a48c7f0177b,sha256,,2020-06-05 00:00:00,5c6637f47a8f347ebb8c52d27630f6ac,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
5,Resource 5,Resource 5,12345,1,1,,,1,EM,4dc9b70996a851364627ca660d33b8c7f2790e0bacf3f11759f87847ed3fcd71,sha256,,2020-07-09 00:00:00,d8b3c8a98f4ee4c6469dbd9e46579883,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
6,Resource 6,Resource 6,12345,1,1,,,1,HM,e56ffd2f1f5b7818d17d68e750aa1a8d13f577d86ca5d9957e81ed13974b2b9b,sha256,c2a9656684d02137c49eac731ef2b9de,2018-07-06 00:00:00,66181cb724357e72a99fdd45c0eece20,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
7,Resource 7,Resource 7,12345,1,1,1,1,1,HD,bb24a66c7b06d7f6a2ea60d030759670d0b7c6d34eae5a6d718847a395b12caa,sha256,,2018-03-05 00:00:00,312fdc568d3f78c2f5b14f53491b2b7d,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
8,Resource 8,Resource 8,12345,3,1,,,1,KBG,2df69630b2f18f9a2a660af7721f1d839ec83fb49c8a5fbca0df5733e3e72913,sha256,64f27d07889b5d3e416b1c69789d8944,2020-06-24 00:00:00,40bfe7e8c96737f6a6d7feacfbd423f9,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
9,Resource 9,Resource 9,12345,3,1,,,1,KEK,6fe7750f447883909b07d09da592ddc74bf5d887d3f21baf580d6965c7ddad1a,sha256,,2018-02-27 00:00:00,4088b0dd4f44db277358e0731de8c132,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
10,Resource 10,Resource 10,12345,3,1,,,1,KR,,,,,312b8a180112f569004f7f29f00727c2,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
11,Resource 11,Resource 11,12345,3,1,,,1,MBA,67d9ea84b4118fa24f9cb776e9e0e201e0d5cc76ad7218abac2e9817558bbe96,sha256,,2018-02-27 00:00:00,041d6a5210f185916c3286ca82daab39,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
12,Resource 12,Resource 12,12345,3,1,,,1,MD,4ef56026bcf83181490321eeb9b06f8a5efd4582d9274974cead7ceaf282f51a,sha256,,2018-04-02 00:00:00,f1788b20f4f2d6eff20cd52da7ac2642,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
13,Resource 13,Resource 13,12345,3,1,,,1,KBHS,75bfd575eebfe207d9a94404a4e6e86790639a4cc7846c4bdac53a519dff4e64,sha256,ef0104b8b69310d1df75ef2fe2917d96,2018-02-27 00:00:00,33b13786758d0b8924cd465c7c8de602,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
14,Resource 14,Resource 14,12345,1,1,,,1,HF,,,,,84639555c6b51cdef39ea8a66f37a2c4,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
15,Resource 15,Resource 15,12345,3,1,,,1,AW,0e1d065af424df0410d84566aab08c938102bea9787d5cd140538e3d13c9cd40,sha256,,2018-02-27 00:00:00,437393b5f64d019c513de2ca150f411a,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
16,Resource 16,Resource 16,12345,1,1,,,1,HO,b284543e216ad3e42a988cad0620251e78ab9905ea0523ed6d1cfa594ffe2fee,sha256,acc47a14e27b79eb579a7c4d1c545ac9,2019-02-20 00:00:00,aea068d11af4fd5b0a3c50e5d0d919fc,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
17,Resource 17,Resource 17,12345,3,1,,,1,LM,bd2e29e1fbad39011942f614ae212d440917e16672dfc2bb8f9b6a4ef7bc5698,sha256,9d0dcb7ba3515739c068c3cc5846ace0,2019-04-25 00:00:00,b412eebde5ff30781d2c257cb246b894,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
